2001:250:831::,2001:250:833:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:834::,2001:250:834:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:835::,2001:250:839:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:83a::,2001:250:83a:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:83b::,2001:250:83b:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:83c::,2001:250:83c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:83d::,2001:250:848:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:849::,2001:250:849:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:84a::,2001:250:84a:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:84b::,2001:250:84b:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:84c::,2001:250:84c:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:84d::,2001:250:84e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:84f::,2001:250:850:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:851::,2001:250:851:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:852::,2001:250:853:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:854::,2001:250:854:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:855::,2001:250:85a:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:85b::,2001:250:85b:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:85c::,2001:250:860:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:861::,2001:250:861:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:862::,2001:250:863:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:864::,2001:250:864:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:865::,2001:250:866:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:867::,2001:250:867:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:868::,2001:250:872:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:873::,2001:250:873:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:874::,2001:250:882:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:883::,2001:250:883:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
